SARS-CoV-2 RNA Levels in Wastewater for Sewershed 1323 Treatment plant in Tennessee
Date generated: Mon Oct 03 2022 15:27:44 GMT-0500 (Central Daylight Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-05-28,N/A
2022-05-29,N/A
2022-05-30,N/A
2022-05-31,N/A
2022-06-01,N/A
2022-06-02,N/A
2022-06-03,N/A
2022-06-04,N/A
2022-06-05,N/A
2022-06-06,N/A
2022-06-07,N/A
2022-06-08,N/A
2022-06-09,N/A
2022-06-10,N/A
2022-06-11,N/A
2022-06-12,N/A
2022-06-13,N/A
2022-06-14,N/A
2022-06-15,N/A
2022-06-16,N/A
2022-06-17,N/A
2022-06-18,N/A
2022-06-19,N/A
2022-06-20,N/A
2022-06-21,N/A
2022-06-22,N/A
2022-06-23,N/A
2022-06-24,N/A
2022-06-25,N/A
2022-06-26,N/A
2022-06-27,N/A
2022-06-28,N/A
2022-06-29,N/A
2022-06-30,N/A
2022-07-01,N/A
2022-07-02,N/A
2022-07-03,N/A
2022-07-04,N/A
2022-07-05,N/A
2022-07-06,N/A
2022-07-07,N/A
2022-07-08,N/A
2022-07-09,N/A
2022-07-10,N/A
2022-07-11,438840964.368
2022-07-12,482559955.684
2022-07-13,526243959.318
2022-07-14,569570356.743
2022-07-15,611046498.686
2022-07-16,648887228.189
2022-07-17,681307388.29
2022-07-18,706521822.033
2022-07-19,722987118.134
2022-07-20,730126848.024
2022-07-21,728102880.85
2022-07-22,719063293.923
2022-07-23,705652716.594
2022-07-24,690515778.214
2022-07-25,676297108.135
2022-07-26,665439486.658
2022-07-27,659578297.886
2022-07-28,659583105.442
2022-07-29,664067587.236
2022-07-30,671081449.744
2022-07-31,678674399.445
2022-08-01,684896142.818
2022-08-02,688265053.127
2022-08-03,689174170.781
2022-08-04,688652510.83
2022-08-05,688398319.737
2022-08-06,690277151.822
2022-08-07,696154561.401
2022-08-08,707896102.793
2022-08-09,726772708.797
2022-08-10,751676826.135
2022-08-11,780486151.067
2022-08-12,809397864.078
2022-08-13,834189016.707
2022-08-14,850636660.496
2022-08-15,854517846.986
2022-08-16,842860024.527
2022-08-17,817692228.713
2022-08-18,782316943.719
2022-08-19,740128860.802
2022-08-20,694545722.992
2022-08-21,648985273.317
2022-08-22,606865254.805
2022-08-23,570823290.754
2022-08-24,540376525.53
2022-08-25,514416419.645
2022-08-26,492452177.136
2022-08-27,474147437.916
2022-08-28,459165841.902
2022-08-29,447171029.008
2022-08-30,437875067.247
2022-08-31,431183737.029
2022-09-01,426880056.44
2022-09-02,424062281.889
2022-09-03,421657479.366
2022-09-04,418592714.86
2022-09-05,413795054.361
2022-09-06,406150207.12
2022-09-07,394378455.44
2022-09-08,377615425.12
2022-09-09,356823542.895
2022-09-10,333421935.736
2022-09-11,308829730.613
2022-09-12,284466054.495
2022-09-13,261617869.78
2022-09-14,241043480.573
2022-09-15,223224322.322
2022-09-16,208063014.13
2022-09-17,195317471.015
2022-09-18,184745607.993
2022-09-19,176105340.083
2022-09-20,169154582.302
2022-09-21,163651249.668
2022-09-22,159353257.198
2022-09-23,156018519.909
2022-09-24,153404952.82
2022-09-25,151270470.948
2022-09-26,149372989.31
2022-09-27,N/A
2022-09-28,N/A
